City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Weather Description
356,Westport,41.14,-73.36,55.99,99,100,5.53,US,light rain
357,Mouila,-1.87,11.06,84.15,66,87,2.77,GA,overcast clouds
358,Otradnoye,59.78,30.82,57.2,62,0,6.71,RU,clear sky
359,Damavand,35.72,52.06,77.0,17,20,6.93,IR,few clouds
360,Honningsvag,70.98,25.97,50.0,76,75,20.8,NO,broken clouds
361,Nadlac,46.17,20.75,68.0,60,99,6.93,RO,overcast clouds
362,Saint-Augustin,51.23,-58.65,61.52,60,0,9.48,CA,clear sky
363,Abu Samrah,35.3,37.18,75.42,37,0,8.41,SY,clear sky
364,Xinzhi,36.5,111.7,57.58,50,99,6.04,CN,overcast clouds
365,Lamu,-2.27,40.9,78.8,83,20,5.82,KE,few clouds
366,Tchibanga,-2.85,11.03,80.13,70,82,7.18,GA,broken clouds
367,Pisco,-13.7,-76.22,68.0,68,20,12.75,PE,few clouds
368,Shingu,33.73,135.98,65.5,83,26,5.88,JP,scattered clouds
369,Petropavlovsk-Kamchatskiy,53.05,158.65,39.2,100,69,4.47,RU,broken clouds
370,Sao Luiz Gonzaga,-28.41,-54.96,86.11,53,96,4.38,BR,overcast clouds
371,Luang Prabang,19.89,102.13,75.72,85,70,0.72,LA,broken clouds
372,San Juan De Arama,3.35,-73.89,81.88,71,93,1.05,CO,light rain
373,Veraval,20.9,70.37,81.18,83,100,10.74,IN,light rain
374,Kestel,40.2,29.21,68.0,45,65,6.93,TR,broken clouds
375,Kawambwa,-9.79,29.08,80.38,35,37,7.94,ZM,scattered clouds
376,Abeche,13.83,20.83,95.0,41,20,11.41,TD,few clouds
377,Awjilah,29.11,21.29,92.62,21,0,4.16,LY,clear sky
378,Kruisfontein,-34.0,24.73,57.0,90,100,11.01,ZA,overcast clouds
379,Oistins,13.07,-59.53,87.8,66,20,16.11,BB,few clouds
380,Shubarkuduk,49.14,56.49,56.88,34,0,8.01,KZ,clear sky
381,Thunder Bay,48.4,-89.32,42.01,56,90,6.93,CA,overcast clouds
382,Antioch,36.21,36.16,78.8,57,20,9.17,TR,few clouds
383,Almaznyy,48.04,40.05,68.0,40,20,26.84,RU,light intensity shower rain
384,Nome,64.5,-165.41,46.99,75,75,9.17,US,broken clouds
385,Tura,25.52,90.22,75.69,89,26,2.71,IN,moderate rain
386,Myrtle Beach,33.69,-78.89,72.0,52,1,11.41,US,clear sky
387,Balkanabat,39.51,54.37,67.96,23,0,10.8,TM,clear sky
388,Kaeo,-35.1,173.78,48.99,89,100,5.01,NZ,overcast clouds
389,Karatsu,33.44,129.97,68.0,68,100,2.01,JP,overcast clouds
390,Kabwe,-14.45,28.45,86.68,14,1,8.99,ZM,clear sky
391,Yakeshi,49.28,120.73,39.69,90,96,2.82,CN,overcast clouds
392,Nsanje,-16.92,35.26,93.33,30,21,12.71,MW,few clouds
393,Marzuq,14.4,46.47,80.06,19,21,5.99,YE,few clouds
394,Ostrovnoy,68.05,39.51,43.38,65,100,8.46,RU,overcast clouds
395,Ulaangom,49.98,92.07,33.06,81,0,1.61,MN,clear sky
396,Grindavik,63.84,-22.43,44.6,87,75,11.41,IS,broken clouds
397,La Rioja,42.25,-2.5,57.99,47,20,18.34,ES,few clouds
398,Jalingo,8.88,11.37,81.61,77,49,4.25,NG,scattered clouds
399,Hare Bay,48.85,-54.01,69.8,56,75,11.41,CA,broken clouds
400,Bandarbeyla,9.49,50.81,78.22,84,50,14.72,SO,scattered clouds
401,Tabuk,17.42,121.44,74.17,87,57,3.6,PH,broken clouds
402,Eyl,7.98,49.82,79.07,79,64,12.62,SO,broken clouds
403,Los Llanos De Aridane,28.66,-17.92,78.8,61,75,18.34,ES,broken clouds
404,Sibolga,1.74,98.78,76.89,83,100,2.82,ID,moderate rain
405,Minab,27.15,57.08,93.2,49,0,9.17,IR,clear sky
406,Richards Bay,-28.78,32.04,63.41,72,91,8.97,ZA,overcast clouds
407,Novopavlovka,51.22,109.21,27.0,90,100,5.08,RU,overcast clouds
408,Khanpur,28.65,70.66,84.22,13,0,5.44,PK,clear sky
409,Progreso,21.28,-89.67,80.6,83,75,9.17,MX,broken clouds
410,Azoyu,16.72,-98.73,84.83,64,67,2.08,MX,broken clouds
411,Banjar,-8.19,114.97,80.6,100,20,10.29,ID,few clouds
412,Lagoa,39.05,-27.98,69.03,83,64,15.46,PT,broken clouds
413,Kinablangan,7.69,126.55,79.43,77,96,5.08,PH,overcast clouds
414,Port Hedland,-20.32,118.57,77.0,61,53,13.87,AU,broken clouds
415,Sao Filipe,14.9,-24.5,83.26,68,91,12.57,CV,overcast clouds
416,Mullovka,54.2,49.4,50.0,76,0,4.47,RU,clear sky
417,Kipini,-2.53,40.53,78.8,83,20,5.82,KE,few clouds
418,College,64.86,-147.8,53.6,59,75,11.41,US,broken clouds
419,Camacha,33.08,-16.33,73.4,69,40,20.8,PT,scattered clouds
420,Newport,51.59,-3.0,54.0,98,100,1.99,GB,light rain
421,Ajijic,20.3,-103.28,66.0,34,5,9.17,MX,clear sky
422,Hofn,64.25,-15.21,41.0,80,90,3.36,IS,shower rain
423,Melfi,41.0,15.65,73.4,60,24,8.05,IT,few clouds
424,Spas-Klepiki,55.13,40.18,51.01,46,19,7.02,RU,few clouds
425,Izhmorskiy,56.19,86.64,36.43,88,61,8.32,RU,broken clouds
426,Huarmey,-10.07,-78.15,67.41,70,70,11.48,PE,broken clouds
427,Turukhansk,65.82,87.98,42.75,95,100,14.2,RU,light rain
428,Olinda,-8.01,-34.86,84.2,62,20,14.99,BR,few clouds
